Anyo,cluster_k6,incidentes_por_distrito,tasa_extranjeros,parados,autonomos,tamanyo_hogar,precio_alquiler_m2,precio_venta_m2,renta
2005,0,,15.56357142857143,,,,,,
2005,1,,11.286521739130434,,,,,,
2005,2,,13.59939393939394,,,,,,
2005,3,,26.355,,,,,,
2005,4,,12.923333333333332,,,,,,
2005,5,,9.335,,,,,,
2006,0,,17.525,,,,,,
2006,1,,12.471304347826086,,,,,,
2006,2,,14.682727272727274,,,,,,
2006,3,,27.615,,,,,,
2006,4,,14.6875,,,,,,
2006,5,,10.89,,,,,,
2007,0,,18.386785714285715,,,,,3055.590432098765,
2007,1,,12.637608695652174,,,,,3564.9997807017544,
2007,2,,13.856969696969696,,,,,4182.035869565218,
2007,3,,25.093333333333334,,,,,4497.571428571428,
2007,4,,15.455833333333333,,,,,,
2007,5,,11.645,,,,,3539.0333333333333,
2008,0,,19.756071428571428,,,,,2963.1815476190473,
2008,1,,13.625434782608695,,,,,3511.4768115942024,
2008,2,,14.336969696969698,,,,,4291.29393939394,
2008,3,,25.58666666666667,,,,18.166666666666668,4293.166666666667,
2008,4,,16.741666666666667,,,,,2650.75,
2008,5,,12.995000000000001,,,,,3538.1666666666665,
2009,0,,20.416428571428572,,,,10.868622448979592,2809.8303571428573,
2009,1,,14.26891304347826,,,,12.16081029185868,3377.210144927536,
2009,2,,14.681212121212122,,,,13.89185960591133,4171.613636363636,
2009,3,,26.265,,,,16.516666666666666,4093.4166666666665,
2009,4,,17.3,,,,,2501.333333333333,
2009,5,,13.5,,,,10.617857142857142,3471.208333333333,
2010,0,,20.259642857142858,,1200.5,,10.387681277056277,2679.5565476190473,
2010,1,,14.307391304347826,,596.0434782608696,,11.53661231884058,3294.9945652173915,
2010,2,,14.493939393939394,,1396.5454545454545,,13.567424242424243,4085.8813131313127,
2010,3,,26.183333333333334,,2154.0,,15.533333333333331,3999.6666666666665,
2010,4,,16.910833333333333,,588.75,,,2457.7272727272725,
2010,5,,13.275,,1139.5,,10.791666666666668,3425.2916666666665,
2011,0,,19.759642857142858,,1209.607142857143,,10.147916666666665,2468.0625,
2011,1,,14.064782608695653,,600.1304347826087,,11.293478260869565,3177.6304347826085,
2011,2,,14.191515151515151,,1419.6060606060605,,13.223989898989899,3936.0404040404037,
2011,3,,25.93166666666667,,2170.1666666666665,,15.091666666666669,3881.8333333333335,
2011,4,,16.405833333333334,,593.6666666666666,,9.014621212121211,2286.9444444444443,
2011,5,,12.74,,1184.0,,11.170833333333334,3396.208333333333,
2012,0,,18.112857142857145,3514.964285714286,1072.9285714285713,,9.611904761904762,2147.160714285714,
2012,1,,12.693695652173913,956.3260869565217,523.4782608695652,,10.714130434782609,2895.9891304347825,
2012,2,,12.856666666666666,1495.3030303030303,1233.6666666666667,,12.680555555555555,3627.744949494949,
2012,3,,23.599999999999998,1832.3333333333333,1818.5,,14.258333333333333,3571.1666666666665,
2012,4,,15.071666666666665,2208.3333333333335,522.1666666666666,,8.750694444444443,1999.6527777777776,
2012,5,,11.594999999999999,2906.0,1069.5,,10.6875,3135.583333333333,
2013,0,,16.68285714285714,43218.21428571428,1114.357142857143,,9.004761904761905,1876.9910714285713,26831.92846869057
2013,1,,11.981521739130434,11708.91304347826,545.7173913043479,,10.152173913043478,2626.231884057971,49426.19350331091
2013,2,,12.379393939393939,18158.969696969696,1284.3333333333333,,12.006127450980392,3331.473039215686,43639.921839679184
2013,3,,23.045,22397.666666666668,1922.1666666666667,,13.408333333333331,3289.8333333333335,30135.799978271083
2013,4,,13.805,26956.083333333332,545.9166666666666,,8.171527777777778,1730.5833333333333,30163.862754326565
2013,5,,10.595,35783.5,1157.0,,10.254166666666666,2887.625,45923.5018546886
2014,0,1835.357142857143,15.161071428571429,41329.107142857145,1222.4642857142858,,8.682440476190475,1751.2589285714287,26807.727261398006
2014,1,938.4565217391304,11.000652173913043,11239.065217391304,604.804347826087,,10.021195652173912,2530.492753623188,50938.095237334965
2014,2,965.3030303030303,11.361212121212121,16827.151515151516,1432.909090909091,,12.012745098039217,3248.095588235294,45140.29379544955
2014,3,5131.0,22.008333333333336,20603.666666666668,2197.0,,13.491666666666667,3278.0,30197.43913377805
2014,4,703.75,12.685833333333333,26084.5,597.9166666666666,,7.898611111111111,1619.1875,30216.881820474315
2014,5,888.0,9.585,34225.0,1383.0,,10.120833333333334,2785.5,46343.283530834
2015,0,1542.9285714285713,13.969999999999999,38500.42857142857,1266.4285714285713,,8.94702380952381,1737.625,27900.799495431802
2015,1,931.7608695652174,10.093478260869565,10404.217391304348,635.6521739130435,,10.358152173913043,2542.014492753623,51768.99793065096
2015,2,983.9090909090909,10.482727272727272,15298.363636363636,1487.4848484848485,,12.482598039215686,3329.825980392157,46786.10252816367
2015,3,4941.0,20.84,18904.666666666668,2299.6666666666665,,14.050000000000002,3423.8333333333335,32930.11651260006
2015,4,779.5,11.486666666666666,24223.416666666668,621.3333333333334,,8.208333333333334,1662.4583333333333,31475.333320641585
2015,5,719.0,8.655,32136.0,1527.5,,10.412499999999998,2756.708333333333,49256.1978377392
2016,0,1453.2857142857142,14.201071428571428,35445.642857142855,1288.3214285714287,,9.41577380952381,1759.6011904761904,28136.535714285714
2016,1,877.1304347826087,10.216086956521739,9606.45652173913,644.0217391304348,,10.859782608695653,2600.1992753623185,49713.97826086957
2016,2,1042.1515151515152,10.55151515151515,13984.515151515152,1476.5151515151515,,13.370343137254903,3463.8823529411766,47857.705882352944
2016,3,5242.0,20.96,17571.333333333332,2276.0,,15.666666666666666,3666.3333333333335,34138.666666666664
2016,4,670.1666666666666,11.800833333333335,22069.333333333332,646.5833333333334,,8.56875,1711.1388888888887,30960.083333333332
2016,5,567.5,8.7,30189.5,1609.0,,10.745833333333334,2838.958333333333,48854.0
2017,0,1706.142857142857,14.63107142857143,31654.75,1376.5714285714287,,10.282440476190477,1880.7232142857142,28598.60714285714
2017,1,974.0869565217391,10.38391304347826,8802.978260869566,688.5652173913044,,11.819384057971012,2769.9347826086955,50014.36956521739
2017,2,1036.264705882353,10.63030303030303,12385.088235294117,1548.2941176470588,,14.597549019607843,3793.860294117647,48710.82352941176
2017,3,5731.0,21.106666666666666,15984.833333333334,2485.1666666666665,,17.466666666666665,4135.583333333333,35098.333333333336
2017,4,793.6666666666666,12.020833333333334,20357.5,706.6666666666666,,9.192361111111111,1794.6666666666667,31402.083333333332
2017,5,718.5,9.114999999999998,28345.0,1802.0,,11.504166666666666,3025.2916666666665,50013.0
2018,0,599.9642857142857,15.795357142857142,28988.571428571428,1083.142857142857,,11.342559523809525,2155.050595238095,29742.035714285714
2018,1,406.1304347826087,10.990217391304348,8144.847826086957,538.5,,12.784601449275362,3120.3079710144925,52292.15217391304
2018,2,402.0,10.803529411764705,11700.5,1212.8823529411766,,15.758088235294117,4406.936274509804,50801.205882352944
2018,3,2896.0,21.823333333333334,14761.833333333334,1785.6666666666667,,18.416666666666668,4874.083333333333,38002.166666666664
2018,4,432.3333333333333,13.543333333333335,18588.0,611.75,,9.979861111111111,2002.5416666666667,32471.916666666668
2018,5,431.5,9.785,26835.0,1484.5,,12.554166666666667,3388.5416666666665,52337.0
2019,0,1052.2857142857142,17.178571428571427,27441.571428571428,1495.857142857143,2.608214285714286,12.008035714285713,2319.565476190476,
2019,1,716.2173913043479,11.727391304347828,7851.521739130435,768.0,2.738260869565217,13.253985507246378,3292.467391304348,
2019,2,712.0294117647059,11.429411764705883,10994.735294117647,1731.1176470588234,2.367058823529412,16.38455882352941,4608.931372549019,
2019,3,5190.0,22.866666666666664,14059.166666666666,2702.8333333333335,1.9916666666666665,18.566666666666663,5024.0,
2019,4,522.75,14.654166666666667,17435.833333333332,780.5833333333334,2.6999999999999997,10.872222222222222,2170.8125,
2019,5,587.5,10.62,26439.0,2235.0,2.835,12.55,3571.833333333333,
2020,0,1138.7857142857142,18.78,32826.78571428572,1562.7142857142858,2.6403571428571433,12.41845238095238,2300.1815476190477,
2020,1,613.0869565217391,12.637173913043478,9443.130434782608,799.7826086956521,2.7467391304347823,13.371557971014493,3279.3804347826085,
2020,2,531.0294117647059,12.295588235294119,13302.676470588236,1791.3529411764705,2.373235294117647,16.19093137254902,4598.112745098039,
2020,3,2652.0,24.238333333333333,18330.0,2795.1666666666665,2.018333333333333,18.325,4994.833333333333,
2020,4,492.5833333333333,16.136666666666667,20961.75,828.0,2.7291666666666665,11.267361111111112,2152.430555555555,
