Anyo,cluster_k5,incidentes_por_distrito,tasa_extranjeros,parados,autonomos,tamanyo_hogar,precio_alquiler_m2,precio_venta_m2,renta
2005,0,,15.52125,,,,,,
2005,1,,13.375581395348837,,,,,,
2005,2,,11.303571428571429,,,,,,
2005,3,,26.355,,,,,,
2005,4,,12.923333333333332,,,,,,
2006,0,,17.450416666666666,,,,,,
2006,1,,14.51139534883721,,,,,,
2006,2,,12.568809523809524,,,,,,
2006,3,,27.615,,,,,,
2006,4,,14.6875,,,,,,
2007,0,,18.311249999999998,,,,,3049.8438405797106,
2007,1,,13.815813953488373,,,,,4100.444623655913,
2007,2,,12.932857142857141,,,,,3443.7675925925923,
2007,3,,25.093333333333334,,,,,4497.571428571428,
2007,4,,15.455833333333333,,,,,,
2008,0,,19.695,,,,,2991.8090277777774,
2008,1,,14.373488372093021,,,,,4207.898449612403,
2008,2,,14.00738095238095,,,,,3343.8809523809523,
2008,3,,25.58666666666667,,,,18.166666666666668,4293.166666666667,
2008,4,,16.741666666666667,,,,,2650.75,
2009,0,,20.32166666666667,,,,10.576648351648352,2853.7326388888887,
2009,1,,14.79720930232558,,,,13.736525096525096,4079.748062015504,
2009,2,,14.655,,,,11.826831501831501,3207.4722222222226,
2009,3,,26.265,,,,16.516666666666666,4093.4166666666665,
2009,4,,17.3,,,,,2501.333333333333,
2010,0,,20.075833333333332,,1313.2083333333333,,10.304308712121212,2734.0520833333335,
2010,1,,14.660930232558139,,1318.906976744186,,13.412403100775194,4008.3701550387595,
2010,2,,14.714761904761904,,503.9761904761905,,11.114543650793651,3102.496031746032,
2010,3,,26.183333333333334,,2154.0,,15.533333333333331,3999.6666666666665,
2010,4,,16.910833333333333,,588.75,,,2457.7272727272725,
2011,0,,19.538333333333334,,1323.4583333333333,,10.139236111111112,2522.184027777778,
2011,1,,14.379302325581394,,1340.8139534883721,,13.041472868217054,3862.860465116279,
2011,2,,14.44809523809524,,506.4761904761905,,10.910714285714286,2983.8829365079364,
2011,3,,25.93166666666667,,2170.1666666666665,,15.091666666666669,3881.8333333333335,
2011,4,,16.405833333333334,,593.6666666666666,,9.014621212121211,2286.9444444444443,
2012,0,,17.89,3789.125,1175.5833333333333,,9.705902777777776,2205.8576388888887,
2012,1,,13.103488372093024,1500.5813953488373,1166.0697674418604,,12.514922480620156,3556.232558139535,
2012,2,,12.993333333333334,1002.452380952381,443.26190476190476,,10.255555555555556,2701.5277777777774,
2012,3,,23.599999999999998,1832.3333333333333,1818.5,,14.258333333333333,3571.1666666666665,
2012,4,,15.071666666666665,2208.3333333333335,522.1666666666666,,8.750694444444443,1999.6527777777776,
2013,0,,16.42875,46830.958333333336,1224.4166666666667,,9.10138888888889,1939.5555555555554,28356.05415190096
2013,1,,12.584186046511627,18305.837209302324,1211.2790697674418,,11.84715909090909,3267.268939393939,43520.31293648616
2013,2,,12.20404761904762,12105.690476190477,465.0238095238095,,9.71765873015873,2430.9186507936506,47739.62323054984
2013,3,,23.045,22397.666666666668,1922.1666666666667,,13.408333333333331,3289.8333333333335,30135.799978271083
2013,4,,13.805,26956.083333333332,545.9166666666666,,8.171527777777778,1730.5833333333333,30163.862754326565
2014,0,1979.0833333333333,14.926666666666668,44619.541666666664,1352.75,,8.775694444444445,1810.8333333333333,28385.652935245056
2014,1,971.2790697674419,11.545813953488373,17057.162790697676,1344.6511627906978,,11.836363636363636,3181.935606060606,44935.490514687175
2014,2,926.8333333333334,11.188571428571429,11753.119047619048,519.4285714285714,,9.555753968253967,2332.8333333333335,49114.47731550924
2014,3,5131.0,22.008333333333336,20603.666666666668,2197.0,,13.491666666666667,3278.0,30197.43913377805
2014,4,703.75,12.685833333333333,26084.5,597.9166666666666,,7.898611111111111,1619.1875,30216.881820474315
2015,0,1577.9166666666667,13.690416666666666,41483.833333333336,1407.3333333333333,,9.003819444444444,1791.9340277777776,29634.97981149452
2015,1,973.5813953488372,10.621627906976745,15566.627906976744,1395.7209302325582,,12.279734848484848,3254.263257575758,46445.55607032516
2015,2,958.0,10.31904761904762,10970.166666666666,548.8095238095239,,9.900595238095239,2336.1825396825393,49928.38547011672
2015,3,4941.0,20.84,18904.666666666668,2299.6666666666665,,14.050000000000002,3423.8333333333335,32930.11651260006
2015,4,779.5,11.486666666666666,24223.416666666668,621.3333333333334,,8.208333333333334,1662.4583333333333,31475.333320641585
2016,0,1462.6666666666667,13.871666666666668,38254.416666666664,1436.25,,9.480208333333332,1823.2569444444443,29759.958333333332
2016,1,1007.4883720930233,10.728837209302325,14253.767441860466,1386.5813953488373,,13.152651515151517,3380.7348484848485,47237.02272727273
2016,2,908.0952380952381,10.450238095238095,10124.404761904761,560.6666666666666,,10.31031746031746,2376.6051587301586,47782.57142857143
2016,3,5242.0,20.96,17571.333333333332,2276.0,,15.666666666666666,3666.3333333333335,34138.666666666664
2016,4,670.1666666666666,11.800833333333335,22069.333333333332,646.5833333333334,,8.56875,1711.1388888888887,30960.083333333332
2017,0,1757.6666666666667,14.275833333333333,34192.375,1542.2916666666667,,10.354166666666666,1951.1493055555554,30264.125
2017,1,1045.0,10.854418604651164,12737.363636363636,1460.4545454545455,,14.366098484848486,3685.8977272727275,48049.02272727273
2017,2,978.2380952380952,10.642857142857142,9237.904761904761,599.7380952380952,,11.198015873015873,2526.4761904761904,48026.666666666664
2017,3,5731.0,21.106666666666666,15984.833333333334,2485.1666666666665,,17.466666666666665,4135.583333333333,35098.333333333336
2017,4,793.6666666666666,12.020833333333334,20357.5,706.6666666666666,,9.192361111111111,1794.6666666666667,31402.083333333332
2018,0,624.7083333333334,15.455833333333333,31393.333333333332,1219.0833333333333,,11.435416666666667,2238.597222222222,31483.666666666668
2018,1,415.3636363636364,11.138181818181819,11936.886363636364,1148.25,,15.526325757575757,4274.64393939394,50141.431818181816
2018,2,398.64285714285717,11.278333333333332,8551.595238095239,464.8809523809524,,12.118055555555557,2825.6626984126983,50197.619047619046
2018,3,2896.0,21.823333333333334,14761.833333333334,1785.6666666666667,,18.416666666666668,4874.083333333333,38002.166666666664
2018,4,432.3333333333333,13.543333333333335,18588.0,611.75,,9.979861111111111,2002.5416666666667,32471.916666666668
2019,0,1063.2916666666667,16.848333333333333,29784.708333333332,1689.5,2.6141666666666667,12.057291666666666,2411.2951388888887,
