Anyo,codigo_barrio,nombre_barrio,area_barrio_m2,codigo_distrito,nombre_distrito,total_viviendas,tasa_extranjeros,parados,poblacion,renta,tamanyo_hogar,incidentes_por_distrito,autonomos,precio_venta_m2,precio_alquiler_m2
2021,13.0,CORTES,591874.1219,1,Centro,5488.0,25.99,7320.0,10787.0,,1.97,2724.0,1693.0,4820.25,16.641666666666666
2022,13.0,CORTES,591874.1219,1,Centro,,27.54,4360.0,10828.0,,,,,5108.2,18.62
2005,13.0,CORTES,591874.1219,1,Centro,,23.49,,11538.0,,,,,,
2006,13.0,CORTES,591874.1219,1,Centro,,24.46,,11597.0,,,,,,
2007,13.0,CORTES,591874.1219,1,Centro,,21.8,,10810.0,,,,,4497.571428571428,
2008,13.0,CORTES,591874.1219,1,Centro,,22.29,,10884.0,,,,,4293.166666666667,18.166666666666668
2009,13.0,CORTES,591874.1219,1,Centro,,23.37,,11049.0,,,,,4093.4166666666665,16.516666666666666
2010,14.0,JUSTICIA,739414.338,1,Centro,,23.65,,17412.0,,,,2342.0,3999.6666666666665,15.533333333333331
2011,14.0,JUSTICIA,739414.338,1,Centro,,23.43,,17330.0,,,,2376.0,3881.8333333333335,15.091666666666669
2012,14.0,JUSTICIA,739414.338,1,Centro,,21.17,1076.0,17046.0,,,,1985.0,3571.1666666666665,14.258333333333333
2013,14.0,JUSTICIA,739414.338,1,Centro,,20.98,12995.0,16996.0,36413.5358867178,,,2052.0,3289.833333333333,13.408333333333331
2014,14.0,JUSTICIA,739414.338,1,Centro,,19.75,11991.0,16622.0,35913.3274475179,,5131.0,2368.0,3278.0,13.491666666666667
2015,14.0,JUSTICIA,739414.338,1,Centro,,18.63,11246.0,16183.0,40314.882263767,,4941.0,2448.0,3423.833333333333,14.05
2016,14.0,JUSTICIA,739414.338,1,Centro,,18.53,10478.0,16420.0,41584.0,,5242.0,2417.0,3666.3333333333335,15.666666666666666
2017,14.0,JUSTICIA,739414.338,1,Centro,,19.37,9621.0,16374.0,43045.0,,5731.0,2622.0,4135.583333333333,17.466666666666665
2018,14.0,JUSTICIA,739414.338,1,Centro,,20.57,9187.0,16578.0,48203.0,,2896.0,1801.0,4874.083333333333,18.416666666666668
2019,14.0,JUSTICIA,739414.338,1,Centro,8582.0,21.38,9393.0,17153.0,,2.0,5190.0,2766.0,5024.0,18.566666666666663
2020,14.0,JUSTICIA,739414.338,1,Centro,8856.0,22.43,11897.0,18021.0,,2.03,2652.0,2895.0,4994.833333333333,18.325
2021,14.0,JUSTICIA,739414.338,1,Centro,8927.0,23.82,12061.0,18208.0,,2.04,2724.0,2759.0,4820.25,16.641666666666666
2022,14.0,JUSTICIA,739414.338,1,Centro,,24.95,9208.0,18015.0,,,,,5108.2,18.62
2005,14.0,JUSTICIA,739414.338,1,Centro,,23.67,,17656.0,,,,,,
2006,14.0,JUSTICIA,739414.338,1,Centro,,24.53,,17699.0,,,,,,
2007,14.0,JUSTICIA,739414.338,1,Centro,,22.25,,16792.0,,,,,4497.571428571428,
2008,14.0,JUSTICIA,739414.338,1,Centro,,22.65,,17057.0,,,,,4293.166666666667,18.166666666666668
2009,14.0,JUSTICIA,739414.338,1,Centro,,23.31,,17171.0,,,,,4093.4166666666665,16.516666666666666
2010,15.0,UNIVERSIDAD,948027.0773,1,Centro,,26.95,,33493.0,,,,2629.0,3999.6666666666665,15.533333333333331
2011,15.0,UNIVERSIDAD,948027.0773,1,Centro,,26.34,,33293.0,,,,2732.0,3881.8333333333335,15.091666666666669
2012,15.0,UNIVERSIDAD,948027.0773,1,Centro,,23.79,2509.0,32638.0,,,,2272.0,3571.1666666666665,14.258333333333333
2013,15.0,UNIVERSIDAD,948027.0773,1,Centro,,22.97,30645.0,32468.0,28782.5408047034,,,2409.0,3289.833333333333,13.408333333333331
2014,15.0,UNIVERSIDAD,948027.0773,1,Centro,,21.65,28071.0,31412.0,28883.0456959947,,5131.0,2775.0,3278.0,13.491666666666667
2015,15.0,UNIVERSIDAD,948027.0773,1,Centro,,20.39,25641.0,30660.0,30701.6520392922,,4941.0,2914.0,3423.833333333333,14.05
2016,15.0,UNIVERSIDAD,948027.0773,1,Centro,,20.23,23046.0,30846.0,31866.0,,5242.0,2888.0,3666.3333333333335,15.666666666666666
2017,15.0,UNIVERSIDAD,948027.0773,1,Centro,,20.26,20434.0,30709.0,33209.0,,5731.0,3171.0,4135.583333333333,17.466666666666665
2018,15.0,UNIVERSIDAD,948027.0773,1,Centro,,20.96,18776.0,30897.0,35344.0,,2896.0,2417.0,4874.083333333333,18.416666666666668
2019,15.0,UNIVERSIDAD,948027.0773,1,Centro,16189.0,21.58,18250.0,31725.0,,1.96,5190.0,3502.0,5024.0,18.566666666666663
2020,15.0,UNIVERSIDAD,948027.0773,1,Centro,16913.0,22.78,24401.0,33418.0,,1.98,2652.0,3631.0,4994.833333333333,18.325
2021,15.0,UNIVERSIDAD,948027.0773,1,Centro,16967.0,,24212.0,33426.0,,1.97,2724.0,3550.0,4820.25,16.641666666666666
2022,15.0,UNIVERSIDAD,948027.0773,1,Centro,,,18940.0,32861.0,,,,,5108.2,18.62
2005,15.0,UNIVERSIDAD,948027.0773,1,Centro,,27.59,,34994.0,,,,,,
2006,15.0,UNIVERSIDAD,948027.0773,1,Centro,,29.1,,35349.0,,,,,,
2007,15.0,UNIVERSIDAD,948027.0773,1,Centro,,26.51,,33011.0,,,,,4497.571428571428,
2008,15.0,UNIVERSIDAD,948027.0773,1,Centro,,26.52,,32966.0,,,,,4293.166666666667,18.166666666666668
2009,15.0,UNIVERSIDAD,948027.0773,1,Centro,,27.18,,33421.0,,,,,4093.4166666666665,16.516666666666666
2010,16.0,SOL,445300.8221,1,Centro,,29.94,,8114.0,,,,1718.0,3999.6666666666665,15.533333333333331
2011,16.0,SOL,445300.8221,1,Centro,,29.8,,8179.0,,,,1681.0,3881.8333333333335,15.091666666666669
2012,16.0,SOL,445300.8221,1,Centro,,26.89,572.0,7858.0,,,,1449.0,3571.1666666666665,14.258333333333333
2013,16.0,SOL,445300.8221,1,Centro,,27.12,7148.0,7827.0,27377.5178430296,,,1509.0,3289.833333333333,13.408333333333331
2014,16.0,SOL,445300.8221,1,Centro,,26.13,6340.0,7509.0,27706.5462890301,,5131.0,1677.0,3278.0,13.491666666666667
2015,16.0,SOL,445300.8221,1,Centro,,24.7,5979.0,7347.0,30935.8043113426,,4941.0,1715.0,3423.833333333333,14.05
2016,16.0,SOL,445300.8221,1,Centro,,25.46,5797.0,7422.0,31684.0,,5242.0,1682.0,3666.3333333333335,15.666666666666666
2017,16.0,SOL,445300.8221,1,Centro,,25.02,5122.0,7341.0,32599.0,,5731.0,1787.0,4135.583333333333,17.466666666666665
2018,16.0,SOL,445300.8221,1,Centro,,25.07,4764.0,7201.0,35057.0,,2896.0,1285.0,4874.083333333333,18.416666666666668
2019,16.0,SOL,445300.8221,1,Centro,3725.0,27.37,4275.0,7337.0,,1.97,5190.0,1838.0,5024.0,18.566666666666663
2020,16.0,SOL,445300.8221,1,Centro,3822.0,29.27,5732.0,7622.0,,1.99,2652.0,1842.0,4994.833333333333,18.325
2021,16.0,SOL,445300.8221,1,Centro,3895.0,32.03,5959.0,7993.0,,2.05,2724.0,1797.0,4820.25,16.641666666666666
2022,16.0,SOL,445300.8221,1,Centro,,33.65,3839.0,8117.0,,,,,5108.2,18.62
2005,16.0,SOL,445300.8221,1,Centro,,32.65,,8774.0,,,,,,
2006,16.0,SOL,445300.8221,1,Centro,,33.71,,8735.0,,,,,,
2007,16.0,SOL,445300.8221,1,Centro,,29.65,,8006.0,,,,,4497.571428571428,
2008,16.0,SOL,445300.8221,1,Centro,,30.16,,8047.0,,,,,4293.166666666667,18.166666666666668
2009,16.0,SOL,445300.8221,1,Centro,,30.44,,8124.0,,,,,4093.4166666666665,16.516666666666666
2010,21.0,IMPERIAL,967678.602,2,Arganzuela,,9.28,,23211.0,,,,822.0,3536.6666666666665,12.108333333333334
2011,21.0,IMPERIAL,967678.602,2,Arganzuela,,9.29,,23202.0,,,,845.0,3406.583333333333,12.008333333333333
2012,21.0,IMPERIAL,967678.602,2,Arganzuela,,8.57,1452.0,23148.0,,,,730.0,3085.5,11.591666666666669
2013,21.0,IMPERIAL,967678.602,2,Arganzuela,,8.24,17492.0,23150.0,39919.8051248313,,,753.0,2777.583333333333,11.175
2014,21.0,IMPERIAL,967678.602,2,Arganzuela,,7.2,16480.0,22778.0,41022.2174894381,,1787.0,858.0,2684.333333333333,11.058333333333332
2015,21.0,IMPERIAL,967678.602,2,Arganzuela,,6.74,16166.0,22636.0,41950.8120458647,,2186.0,888.0,2709.75,11.575
2016,21.0,IMPERIAL,967678.602,2,Arganzuela,,6.56,14343.0,22679.0,43145.0,,2572.0,890.0,2835.0,12.3
2017,21.0,IMPERIAL,967678.602,2,Arganzuela,,6.61,12770.0,22646.0,44101.0,,1980.0,949.0,3186.0,13.666666666666666
2018,21.0,IMPERIAL,967678.602,2,Arganzuela,,6.68,11807.0,22719.0,46879.0,,251.0,807.0,3844.8333333333335,14.666666666666666
