Anyo,codigo_distrito,codigo_barrio,tamanyo_hogar
2021,5,52,2.28
2021,5,53,2.31
2021,5,54,2.55
2021,5,55,2.68
2021,5,56,2.56
2021,6,61,2.46
2021,6,62,2.3
2021,6,63,2.19
2021,6,64,2.43
2021,6,65,2.47
2021,6,66,2.46
2021,7,71,2.18
2021,7,72,2.17
2021,7,73,2.1
2021,7,74,2.44
2021,7,75,2.25
2021,7,76,2.39
2021,8,81,2.62
2021,8,82,2.96
2021,8,83,2.59
2021,8,84,2.36
2021,8,85,2.64
2021,8,86,2.79
2021,8,87,3.13
2021,8,88,3.24
2021,9,91,2.34
2021,9,92,2.32
2021,9,93,2.61
2021,9,94,2.41
2021,9,95,3.45
2021,9,96,3.22
2021,9,97,3.14
2021,10,101,2.65
2021,10,102,2.39
2021,10,103,2.57
2021,10,104,2.5
2021,10,105,2.64
2021,10,106,2.65
2021,10,107,2.48
2021,11,111,2.36
2021,11,112,2.55
2021,11,113,2.59
2021,11,114,2.7
2021,11,115,2.83
2021,11,116,2.75
2021,11,117,2.83
2021,12,121,2.74
2021,12,122,2.96
2021,12,123,2.87
2021,12,124,2.85
2021,12,125,2.71
2021,12,126,2.84
2021,12,127,2.98
2021,13,131,2.76
2021,13,132,2.7
2021,13,133,2.67
2021,13,134,2.67
2021,13,135,2.65
2021,13,136,2.62
2021,14,141,2.72
2021,14,142,2.92
2021,14,143,2.46
2021,14,144,2.47
2021,14,145,2.51
2021,14,146,2.34
2021,15,151,2.42
2021,15,152,2.59
2021,15,153,2.37
2021,15,154,2.28
2021,15,155,2.37
2021,15,156,2.55
2021,15,157,2.45
2021,15,158,2.73
2021,15,159,2.76
2021,16,161,3.07
2021,16,162,3.04
2021,16,163,2.5
2021,16,164,2.45
2021,16,165,2.66
2021,16,166,2.93
2021,17,171,2.81
2021,17,172,3.28
2021,17,173,2.86
2021,17,174,2.85
2021,17,175,2.61
2021,18,181,2.7
2021,18,182,2.68
2021,18,183,2.54
2021,19,191,2.66
2021,19,192,2.87
2021,19,193,2.85
2021,19,194,2.46
2021,20,201,2.58
2021,20,202,2.53
2021,20,203,2.62
2021,20,204,2.72
2021,20,205,2.84
2021,20,206,2.51
2021,20,207,2.62
2021,20,208,2.61
2021,21,211,2.67
2021,21,212,2.72
2021,21,213,2.37
2021,21,214,2.7
2021,21,215,2.95
