Anyo,codigo_distrito,precio_venta_m2
2018,4,5539.666666666667
2018,5,4975.666666666667
2018,6,3433.0833333333335
2018,7,5142.0
2018,8,3248.8333333333335
2018,9,3765.25
2018,10,2157.9166666666665
2018,11,2008.0
2018,12,1861.3333333333333
2018,13,1732.25
2018,14,2345.4166666666665
2018,15,2829.0
2018,16,3528.25
2018,17,1584.8333333333333
2018,18,2192.25
2018,19,2033.8333333333333
2018,20,2489.5833333333335
2018,21,2940.0
2019,1,5024.0
2019,2,4059.1666666666665
2019,3,4602.25
2019,4,5840.25
2019,5,5051.416666666667
2019,6,3703.0
2019,7,5290.583333333333
2019,8,3439.5833333333335
2019,9,3918.6666666666665
2019,10,2295.5
2019,11,2180.4166666666665
2019,12,2036.5
2019,13,1920.8333333333333
2019,14,2540.5833333333335
2019,15,3062.25
2019,16,3704.0833333333335
2019,17,1710.0
2019,18,2404.5833333333335
2019,19,2256.25
2019,20,2524.3333333333335
2019,21,3161.0833333333335
2020,1,4994.833333333333
2020,2,3918.1666666666665
2020,3,4541.666666666667
2020,4,5849.5
2020,5,5090.416666666667
2020,6,3676.6666666666665
2020,7,5356.25
2020,8,3525.8333333333335
2020,9,3915.25
2020,10,2295.5
2020,11,2169.0
2020,12,1991.6666666666667
2020,13,1920.1666666666667
2020,14,2485.0833333333335
2020,15,2975.0833333333335
2020,16,3683.0
2020,17,1718.3333333333333
2020,18,2402.0833333333335
2020,19,2327.0
2020,20,2511.25
2020,21,3172.9166666666665
2021,1,4820.25
2021,2,4002.5
2021,3,4675.333333333333
2021,4,5987.666666666667
2021,5,5098.666666666667
2021,6,3660.3333333333335
2021,7,5319.666666666667
2021,8,3527.8333333333335
2021,9,4006.6666666666665
2021,10,2256.5833333333335
2021,11,2126.4166666666665
2021,12,1979.5
2021,13,1901.5833333333333
2021,14,2550.5833333333335
2021,15,2955.5
2021,16,3769.4166666666665
2021,17,1704.5833333333333
2021,18,2358.1666666666665
2021,19,2405.3333333333335
2021,20,2563.4166666666665
2021,21,3264.1666666666665
2022,1,5108.2
2022,2,4196.1
2022,3,4955.7
2022,4,6507.7
2022,5,5420.8
2022,6,3841.6
2022,7,5654.9
2022,8,3718.9
2022,9,4170.7
2022,10,2349.7
2022,11,2232.3
2022,12,2096.6
2022,13,2037.4
2022,14,2593.3
2022,15,3127.1
2022,16,3950.3
2022,17,1768.8
2022,18,2466.9
2022,19,2700.3
2022,20,2635.9
2022,21,3306.2
