Anyo,codigo_distrito,codigo_barrio,autonomos
2012,13,133,823
2012,13,134,912
2012,13,135,648
2012,13,136,1223
2012,14,141,170
2012,14,142,125
2012,14,143,769
2012,14,144,403
2012,14,145,330
2012,14,146,345
2012,15,151,1498
2012,15,152,2020
2012,15,153,1026
2012,15,154,862
2012,15,155,676
2012,15,156,591
2012,15,157,343
2012,15,158,126
2012,15,159,787
2012,16,161,265
2012,16,162,681
2012,16,163,1464
2012,16,164,1559
2012,16,165,383
2012,16,166,841
2012,17,171,1540
2012,17,172,144
2012,17,173,241
2012,17,174,705
2012,17,175,595
2012,18,181,1407
2012,18,182,518
2012,19,191,899
2012,20,201,1266
2012,20,202,121
2012,20,203,194
2012,20,204,409
2012,20,205,783
2012,20,206,359
2012,20,207,962
2012,20,208,357
2012,21,211,574
2012,21,212,51
2012,21,213,269
2012,21,214,312
2012,21,215,243
2013,1,11,1736
2013,1,12,2634
2013,1,13,1193
2013,1,14,2052
2013,1,15,2409
2013,1,16,1509
2013,2,21,753
2013,2,22,1242
2013,2,23,691
2013,2,24,516
2013,2,25,788
2013,2,26,1261
2013,2,27,50
2013,3,31,1199
2013,3,32,459
2013,3,33,755
2013,3,34,1248
2013,3,35,446
2013,3,36,721
2013,4,41,2231
2013,4,42,2001
2013,4,43,881
2013,4,44,1735
2013,4,45,1337
2013,4,46,1750
2013,5,51,1417
2013,5,52,1754
2013,5,53,1122
2013,5,54,1964
2013,5,55,1492
2013,5,56,767
2013,6,61,1092
2013,6,62,2451
2013,6,63,1680
2013,6,64,666
2013,6,65,905
2013,6,66,900
2013,7,71,1288
2013,7,72,1174
2013,7,73,1669
2013,7,74,2048
2013,7,75,1551
2013,7,76,906
2013,8,81,68
2013,8,82,102
2013,8,83,1160
2013,8,84,1342
2013,8,85,953
2013,8,86,1402
2013,8,87,769
2013,8,88,226
2013,9,91,389
2013,9,92,1527
2013,9,93,644
2013,9,94,728
2013,9,95,211
2013,9,96,241
2013,9,97,1110
2013,10,101,414
2013,10,102,1408
2013,10,103,928
2013,10,104,2063
2013,10,105,449
2013,10,106,62
2013,10,107,1206
2013,11,111,862
2013,11,112,1154
2013,11,113,1162
2013,11,114,1707
2013,11,115,872
2013,11,116,1140
2013,11,117,764
2013,12,121,344
2013,12,122,205
2013,12,123,396
2013,12,124,619
2013,12,125,869
2013,12,126,333
2013,12,127,649
2013,13,131,771
2013,13,132,1360
2013,13,133,841
2013,13,134,900
2013,13,135,685
2013,13,136,1251
2013,14,141,177
2013,14,142,131
2013,14,143,798
2013,14,144,406
2013,14,145,332
2013,14,146,365
2013,15,151,1537
2013,15,152,2054
2013,15,153,1092
2013,15,154,904
2013,15,155,670
2013,15,156,615
2013,15,157,359
2013,15,158,134
2013,15,159,806
2013,16,161,268
2013,16,162,732
2013,16,163,1500
2013,16,164,1565
2013,16,165,395
2013,16,166,912
2013,17,171,1611
2013,17,172,146
2013,17,173,253
2013,17,174,727
2013,17,175,622
2013,18,181,1534
2013,18,182,540
2013,19,191,983
2013,20,201,1308
2013,20,202,125
2013,20,203,193
2013,20,204,428
2013,20,205,859
2013,20,206,374
2013,20,207,1001
2013,20,208,375
2013,21,211,592
2013,21,212,54
2013,21,213,280
2013,21,214,327
2013,21,215,273
2014,1,11,1937
2014,1,12,3047
2014,1,13,1378
2014,1,14,2368
2014,1,15,2775
2014,1,16,1677
2014,2,21,858
2014,2,22,1380
2014,2,23,790
2014,2,24,588
2014,2,25,897
2014,2,26,1421
2014,2,27,56
2014,3,31,1335
2014,3,32,508
2014,3,33,787
2014,3,34,1413
2014,3,35,499
2014,3,36,791
2014,4,41,2553
2014,4,42,2252
2014,4,43,991
2014,4,44,1934
2014,4,45,1481
2014,4,46,1967
2014,5,51,1566
2014,5,52,1897
2014,5,53,1227
2014,5,54,2127
2014,5,55,1648
2014,5,56,852
2014,6,61,1200
2014,6,62,2704
2014,6,63,1888
2014,6,64,722
2014,6,65,962
2014,6,66,972
2014,7,71,1429
2014,7,72,1336
2014,7,73,1879
2014,7,74,2306
2014,7,75,1711
2014,7,76,1028
2014,8,81,73
2014,8,82,120
2014,8,83,1267
2014,8,84,1449
2014,8,85,1036
2014,8,86,1642
2014,8,87,897
2014,8,88,306
2014,9,91,451
2014,9,92,1709
2014,9,93,741
2014,9,94,811
2014,9,95,285
2014,9,96,247
2014,9,97,1283
2014,10,101,455
2014,10,102,1563
2014,10,103,1050
2014,10,104,2224
2014,10,105,519
2014,10,106,79
2014,10,107,1311
2014,11,111,933
2014,11,112,1259
2014,11,113,1282
2014,11,114,1814
2014,11,115,944
2014,11,116,1323
2014,11,117,846
2014,12,121,375
2014,12,122,201
2014,12,123,420
2014,12,124,682
2014,12,125,949
2014,12,126,344
2014,12,127,698
2014,13,131,816
2014,13,132,1517
2014,13,133,889
2014,13,134,937
2014,13,135,753
2014,13,136,1337
2014,14,141,189
2014,14,142,147
2014,14,143,872
2014,14,144,439
2014,14,145,383
2014,14,146,395
2014,15,151,1643
2014,15,152,2285
