FID;OBJECTID;CODDIS;NOMDIS;COD_BAR;NOMBRE;COD_DIS_TX;BARRIO_MAY;COD_DISBAR;NUM_BAR;BARRIO_MT;COD_DISB;AREA
53;185;14;Moratalaz;144;Media Legua;14;MEDIA LEGUA;144;4;MEDIA LEGUA;14-abr;998967,7103
54;186;1;Centro;13;Cortes;1;CORTES;13;3;CORTES;01-mar;591874,1219
55;187;1;Centro;16;Sol;1;SOL;16;6;SOL;01-jun;445300,8221
56;188;3;Retiro;33;Estrella;3;ESTRELLA;33;3;ESTRELLA;03-mar;1025524,32
57;189;3;Retiro;35;Los Jer�nimos;3;LOS JERONIMOS;35;5;LOS JER�NIMOS;03-may;1906397,625
58;190;3;Retiro;34;Ibiza;3;IBIZA;34;4;IBIZA;03-abr;491968,9088
59;191;1;Centro;11;Palacio;1;PALACIO;11;1;PALACIO;01-ene;1469905,684
60;192;20;San Blas - Canillejas;204;Arcos;20;ARCOS;204;4;ARCOS;20-abr;1305194,038
61;193;4;Salamanca;42;Goya;4;GOYA;42;2;GOYA;04-feb;770293,6532
62;194;20;San Blas - Canillejas;203;Amposta;20;AMPOSTA;203;3;AMPOSTA;20-mar;370249,9945
63;195;1;Centro;14;Justicia;1;JUSTICIA;14;4;JUSTICIA;01-abr;739414,338
64;196;4;Salamanca;41;Recoletos;4;RECOLETOS;41;1;RECOLETOS;04-ene;873144,6521
65;197;1;Centro;15;Universidad;1;UNIVERSIDAD;15;5;UNIVERSIDAD;01-may;948027,0773
66;198;4;Salamanca;43;Fuente del Berro;4;FUENTE DEL BERRO;43;3;FUENTE DEL BERRO;04-mar;852575,7519
67;199;15;Ciudad Lineal;151;Ventas;15;VENTAS;151;1;VENTAS;15-ene;3198035,685
68;200;20;San Blas - Canillejas;202;Hell�n;20;HELLIN;202;2;HELL�N;20-feb;550556,0793
69;201;9;Moncloa - Aravaca;92;Arg�elles;9;ARGÜELLES;92;2;ARG�ELLES;09-feb;757530,9266
70;202;4;Salamanca;45;Lista;4;LISTA;45;5;LISTA;04-may;520214,543
71;203;15;Ciudad Lineal;152;Pueblo Nuevo;15;PUEBLO NUEVO;152;2;PUEBLO NUEVO;15-feb;2319216,423
72;204;4;Salamanca;46;Castellana;4;CASTELLANA;46;6;CASTELLANA;04-jun;773385,1981
73;205;7;Chamber�;74;Almagro;7;ALMAGRO;74;4;ALMAGRO;07-abr;937940,695
74;206;7;Chamber�;73;Trafalgar;7;TRAFALGAR;73;3;TRAFALGAR;07-mar;611878,1102
75;207;7;Chamber�;72;Arapiles;7;ARAPILES;72;2;ARAPILES;07-feb;578229,6215
76;208;7;Chamber�;71;Gaztambide;7;GAZTAMBIDE;71;1;GAZTAMBIDE;07-ene;506477,7286
77;209;15;Ciudad Lineal;153;Quintana;15;QUINTANA;153;3;QUINTANA;15-mar;723117,3281
78;210;20;San Blas - Canillejas;201;Simancas;20;SIMANCAS;201;1;SIMANCAS;20-ene;2276342,64
79;211;4;Salamanca;44;Guindalera;4;GUINDALERA;44;4;GUINDALERA;04-abr;1602789,629
80;212;15;Ciudad Lineal;154;La Concepci�n;15;LA CONCEPCION;154;4;LA CONCEPCI�N;15-abr;885910,7502
81;213;7;Chamber�;75;R�os Rosas;7;RIOS ROSAS;75;5;R�OS ROSAS;07-may;975419,8536
82;214;7;Chamber�;76;Vallehermoso;7;VALLEHERMOSO;76;6;VALLEHERMOSO;07-jun;1069239,038
83;215;15;Ciudad Lineal;155;San Pascual;15;SAN PASCUAL;155;5;SAN PASCUAL;15-may;1052724,597
84;216;20;San Blas - Canillejas;207;Canillejas;20;CANILLEJAS;207;7;CANILLEJAS;20-jul;1597706,227
85;217;20;San Blas - Canillejas;205;Rosas;20;ROSAS;205;5;ROSAS;20-may;9296501,191
86;218;20;San Blas - Canillejas;208;El Salvador;20;EL SALVADOR;208;8;EL SALVADOR;20-ago;1880110,04
87;219;20;San Blas - Canillejas;206;Rejas;20;REJAS;206;6;REJAS;20-jun;5015732,122
88;220;9;Moncloa - Aravaca;91;Casa de Campo;9;CASA DE CAMPO;91;1;CASA DE CAMPO;09-ene;17460617,37
89;221;5;Chamart�n;51;El Viso;5;EL VISO;51;1;EL VISO;05-ene;1709232,753
90;222;5;Chamart�n;53;Ciudad Jard�n;5;CIUDAD JARDIN;53;3;CIUDAD JARD�N;05-mar;762309,5546
91;223;5;Chamart�n;52;Prosperidad;5;PROSPERIDAD;52;2;PROSPERIDAD;05-feb;1040058,18
